abhinav vishnu
werner haas 0004
daniel genkin
daniel gruss
thomas prescher 0002
stefan mangard
darren j. kerbyson
yuval yarom
moritz lipp
mike hamburg
michael schwarz 0001
paul kocher
pavan balaji
kevin j. barker
shuaiwen song
erich gehlen
kirk w. cameron
amith r. mamidala
dhabaleswar k. panda
andres marquez
sundeep narravula
adam moody
thomas ludwig 0001
bernd walter
matthew j. koop
mark f. hornick
ulrike schwall
georg martius
jiankai sun
albert maier
aniket chakrabarti
udo pletat
srinivasan parthasarathy 0001
michael ley
alejandro p. buchmann
charles siegel
ananth kalyanaraman
mohammed nadjib khenkhar
rinku gupta
farshad nayeri
krishna g. kulkarni
sriram krishnamoorthy
peter h. beckman
georg hager
prasun dewan
jiuxing liu
frank manola
adolfy hoisie
jonathan bauer
bharat k. bhargava
michael herweg
yin-he jiang
simone pribbenow
jim melton
christoph beierle
jeff daily
gerhard wellein
jagannathan srinivasan
mike kelley
klaus rehkämper
yong chen 0001
michal rolinek
garrett b. goh
nathan o. hodas
joe d. morrison
claus-rainer rollinger
mechthild rickheit
ulrike rackow
sven lorenz
helmar gust
m. tamer özsu
rudi studer
hans uszkoreit
petra ludewig
gert smolka
angelika storrer
stefan benzschawel
brigitte bläser
toni bollinger
dimitrios georgakopoulos
dominik zietlow
ido dagan
cetin ozbutun
kai-uwe carstensen
werner emde
ralf der
ingo raasch
eckehard olbrich
ulrike weiland
jochen dörre
david w. flater
yelena yesha
markus höhfeld
sahar aljalbout
sandra heiler
lidia auret
chris aldrich
egon börger
martin hübner
david beech
********************************************
peter h. beckman
georg hager
prasun dewan
jiuxing liu
frank manola
adolfy hoisie
jonathan bauer
bharat k. bhargava
michael herweg
yin-he jiang
simone pribbenow
jim melton
christoph beierle
jeff daily
gerhard wellein
jagannathan srinivasan
mike kelley
klaus rehkämper
yong chen 0001
michal rolinek
garrett b. goh
nathan o. hodas
joe d. morrison
claus-rainer rollinger
mechthild rickheit
ulrike rackow
sven lorenz
helmar gust
m. tamer özsu
rudi studer
hans uszkoreit
petra ludewig
gert smolka
angelika storrer
stefan benzschawel
brigitte bläser
toni bollinger
dimitrios georgakopoulos
dominik zietlow
ido dagan
cetin ozbutun
kai-uwe carstensen
werner emde
ralf der
ingo raasch
eckehard olbrich
ulrike weiland
jochen dörre
david w. flater
yelena yesha
markus höhfeld
sahar aljalbout
sandra heiler
lidia auret
chris aldrich
egon börger
martin hübner
david beech
benjamin hurwitz
michael l. brodie
michael stonebraker
peter h. schmitt
manfred schmidt-schauß
stefan börner
otthein herzog
geoffrey simmons
stefan böttcher
gilles falquet
burkhard kehrbusch
gudrun klose
gerrit bleumer
mitchell a. thornton
lutz voelkel
phil shaw
rolf sander
claudia maienborn
rodrigo pastl pontes
nary subramanian
birgit wesche
marijke de soete
claudia mrotzek
anja theuner
carola eschenbach
stefan j. schierholz
ingo m. weber
stan z. li
christopher habel
michael czymmeck
esther könig
bernhard beckert
gisela schöpke
satyan r. coorg
birgit wendholt
michael tarnowski
roland seiffert
ulrich junker
kristian kersting
brigitte bartsch-spörl
hans-joachim goltz
torben p. pedersen
